Phage,Accession,Protein_ID,Product,Length_aa,Subtype,Module,Depolymerase_Signal,Multidomain_Flag,Confidence,Mechanism,Product_Source,Length_Flag,InterPro_Domain,InterPro_Verdict,Was_S2_No,Evidence,Sequence_MD5,DepoScope_Score,DepoScope_Call,Method_Agreement
Staphylococcus phage vB_SauP-436A1,MN150710.1,QEA03127.1,tail fibers protein,481,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,Coil,uncertain,No,primary keyword: 'tail fiber',9afd1e16f7a8,,,
Staphylococcus phage Portland,MT926124.1,QOI69188.1,tail protein,587,tail_fiber,host_recognition,none,,confirmed,primary,note/gene_qualifier,normal,"Caudoviral major tail protein N-terminus, Tail knob protein gp9, N-terminal, Bacillus phage phi29, Tail knob protein gp9, C-terminal domain, Tail knob protein gp9, C-terminal domain",structural_tail,No,primary keyword: 'tail fiber',cc58689ec5e2,,,
Staphylococcus phage Portland,MT926124.1,QOI69189.1,tail fiber protein,469,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,Coil,uncertain,No,primary keyword: 'tail fiber',e99e46e4359b,,,
Staphylococcus phage Portland,MT926124.1,QOI69191.1,putative tail fiber protein,647,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Phage 5-bladed beta propeller receptor binding platform domain, P68 RBP/TagC-like, beta-propeller, pyocin_knob",rbp,No,primary keyword: 'tail fiber',fdfcf2fc1400,,,
Staphylococcus phage Twort,NC_007021.1,YP_238548.1,tail fiber protein,303,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',0296cd8cbcf8,,,
Staphylococcus phage Twort,NC_007021.1,YP_238581.1,tail fiber protein,121,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"consensus disorder prediction, Protein of unknown function (DUF2977), Protein of unknown function DUF2977",uncertain,No,primary keyword: 'tail fiber',b74f9b110b67,,,
Staphylococcus phage Twort,NC_007021.1,YP_238582.1,tail fiber protein,442,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',cf26b5c5746a,,,
Staphylococcus phage EW,NC_007056.1,YP_240171.1,phosphodiester glycosidase family protein,576,depolymerase,depolymerase,glycoside_hydrolase,,putative,depolymerase,product_qualifier,normal,"N-ACETYLGLUCOSAMINE-1-PHOSPHODIESTER ALPHA-N-ACETYLGLUCOSAMINIDASE, Phosphodiester glycosidase",cell_wall_hydrolase,No,depolymerase keyword: class='glycoside_hydrolase',2005609b572e,,,
Staphylococcus phage EW,NC_007056.1,YP_240173.1,tail fiber protein,110,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"YomQ N-terminal domain, YomQ, N-terminal domain",uncertain,No,primary keyword: 'tail fiber',97d7f4d000ec,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112747.1,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',fb7776214584,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112748.1,tail fiber protein,123,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Protein of unknown function (DUF2977), Protein of unknown function DUF2977, Coil",uncertain,No,primary keyword: 'tail fiber',340376f4f5ec,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112774.1,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',602dfe9ada2e,,,
Staphylococcus phage SA13,NC_021863.1,YP_008320254.1,tail fiber protein,135,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Coil, Protein of unknown function (DUF2977), Protein of unknown function DUF2977, consensus disorder prediction",uncertain,No,primary keyword: 'tail fiber',43cfb6d8c8c0,,,
Staphylococcus phage SA13,NC_021863.1,YP_008320258.1,tail fiber protein,390,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"consensus disorder prediction, BppU N-terminal domain, BppU, N-terminal",structural_tail,No,primary keyword: 'tail fiber',389d46f2e655,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873597.1,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873623.1,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Protein of unknown function (DUF2977), Protein of unknown function DUF2977, Coil",uncertain,No,primary keyword: 'tail fiber',897855a16278,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873624.1,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',5ff327ae1958,,,
Staphylococcus phage Staph1N,NC_047722.1,YP_009780573.1,hypothetical protein,278,putative_rbp,host_recognition,none,,putative,extended,note/gene_qualifier,normal,,no_domain,No,extended keyword: 'baseplate hub',516106123cfd,,,
Staphylococcus phage Staph1N,NC_047722.1,YP_009780570.1,hypothetical protein,302,tail_fiber,host_recognition,none,,high,primary,note/gene_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
Staphylococcus phage A3R,NC_047723.1,YP_009780803.1,hypothetical protein,278,putative_rbp,host_recognition,none,,putative,extended,note/gene_qualifier,normal,,no_domain,No,extended keyword: 'baseplate hub',516106123cfd,,,
Staphylococcus phage A3R,NC_047723.1,YP_009780800.1,hypothetical protein,302,tail_fiber,host_recognition,none,,high,primary,note/gene_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
