Phage,Accession,Protein_ID,Product,Length_aa,Inferred_Domain,InterPro_Domain,InterPro_Verdict,Classification,Selected,tBLASTn_Identity_pct,tBLASTn_Note,Runtime_Flag,shared_by,Evidence
Staphylococcus phage Twort,NC_007021.1,YP_238564.1,tail associated lysin,1269,LysK-type (unspecified),"consensus disorder prediction, Coil, Phage tail lysozyme, IPR041219",confirmed-endolysin,vaph,Yes,45.0,"1269-aa phage tail lysozyme (Phage_lysozyme2), tail-anchored — virion-associated peptidoglycan hydrolase, not a free endolysin.",,,matched 'LysK-type (unspecified)'; validated status 'vaph' (curation registry)
Staphylococcus phage Twort,NC_007021.1,YP_238562.1,tail assembly chaperone,150,CHAP,,,non-endolysin,No,,,,,
Staphylococcus phage Twort,NC_007021.1,YP_238566.1,tail protein with lysin activity,804,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage Twort,NC_007021.1,YP_238568.1,tail protein with lysin activity,288,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage Twort,NC_007021.1,YP_238716.1,endolysin,467,LysK-type (unspecified),,,free-endolysin,No,,,,,
Staphylococcus phage EW,NC_007056.1,YP_240182.1,endolysin,482,LysK-type (unspecified),"CHAP domain profile., IPR007921, CHAP domain, Amidase, SH3b domain profile., IPR003646, SH3-like domain, bacterial-type, PGRP, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, endopeptidase domain like (from Nostoc punctiforme), ami_2, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, N-acetylmuramoyl-L-alanine amidase, Bacterial SH3 domain, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, SH3 Domains",confirmed-endolysin,divergent-endolysin,Yes,,"576-aa NAGPA phosphodiester glycosidase, no SH3b CBD — a divergent free endolysin (outgroup lineage).",,,matched 'LysK-type (unspecified)'; validated status 'divergent-endolysin' (curation registry)
Staphylococcus phage EW,NC_007056.1,YP_240164.1,tail assembly chaperone,167,CHAP,,,non-endolysin,No,,,,,
Staphylococcus phage EW,NC_007056.1,YP_240171.1,phosphodiester glycosidase family protein,576,Glycosidase (phosphodiester/NAGPA),,,free-endolysin,No,,,,,
Staphylococcus phage EW,NC_007056.1,YP_240176.1,tail associated cell-wall hydrolase,630,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112759.1,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112760.1,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112761.1,tail associated lysin,1323,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112763.1,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112796.1,endolysin,495,LysK-type (unspecified),,,free-endolysin,No,,,,,
Staphylococcus phage JD007,NC_019726.1,YP_007112893.1,hypothetical protein,76,Hydrolase (unspecified — verify; may be non-PG),,,uncertain,No,,,,,
Staphylococcus phage SA13,NC_021863.1,YP_008320261.1,endolysin,481,LysK-type (unspecified),"N-acetylmuramoyl-L-alanine amidase, N-acetylmuramoyl-L-alanine amidase-like, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, consensus disorder prediction, Amidase, CHAP domain, IPR007921, SH3 Domains, endopeptidase domain like (from Nostoc punctiforme), CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, SH3b domain profile.",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 5 candidate(s))
Staphylococcus phage SA13,NC_021863.1,YP_008320204.1,ImmA/IrrE family metallo-endopeptidase,224,Peptidase (unspecified — verify),,,uncertain,No,,,,,
Staphylococcus phage SA13,NC_021863.1,YP_008320247.1,tail assembly chaperone,164,CHAP,,,non-endolysin,No,,,,,
Staphylococcus phage SA13,NC_021863.1,YP_008320248.1,tail assembly chaperone,113,CHAP,,,non-endolysin,No,,,,,
Staphylococcus phage SA13,NC_021863.1,YP_008320257.1,tail associated cell-wall hydrolase,624,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873573.1,endolysin,494,LysK-type (unspecified),,,free-endolysin,Yes,,,,MN336261.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 6 candidate(s))
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873608.1,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873610.1,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873611.1,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873612.1,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
Staphylococcus aureus bacteriophage Sb-1,NC_023009.1,YP_008873677.1,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
Staphylococcus phage Staph1N,NC_047722.1,YP_009780546.1,LysKn/LysKc,495,Amidase,,,free-endolysin,Yes,,,,EU418428.2;NC_047723.1;NC_047725.1;NC_047726.1,matched 'LysKn/LysKc'; inferred Amidase; free-endolysin (top of 3 candidate(s))
Staphylococcus phage Staph1N,NC_047722.1,YP_009780584.1,TmpD,808,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage Staph1N,NC_047722.1,YP_009780585.1,TmpE,295,Peptidoglycan hydrolase,,,vaph,No,,,,,
Staphylococcus phage A3R,NC_047723.1,YP_009780776.1,LysK,495,Amidase,,,free-endolysin,Yes,,,,EU418428.2;NC_047722.1;NC_047725.1;NC_047726.1,matched 'LysK'; inferred Amidase; free-endolysin (top of 3 candidate(s))
Staphylococcus phage A3R,NC_047723.1,YP_009780815.1,TmpD,808,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage A3R,NC_047723.1,YP_009780816.1,TmpE,295,Peptidoglycan hydrolase,,,vaph,No,,,,,
Staphylococcus phage 676Z,NC_047724.1,YP_009780991.1,LysK,495,Amidase,"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, CHAP domain, IPR007921, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, N-acetylmuramoyl-L-alanine amidase-like, SH3 Domains, N-acetylmuramoyl-L-alanine amidase, CHAP domain profile., sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, PGRP, endopeptidase domain like (from Nostoc punctiforme), consensus disorder prediction, Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'LysK'; inferred Amidase; free-endolysin (top of 2 candidate(s))
Staphylococcus phage 676Z,NC_047724.1,YP_009781029.1,TmpD,808,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage Fi200W,NC_047725.1,YP_009781224.1,LysK,495,Amidase,,,free-endolysin,Yes,,,,EU418428.2;NC_047722.1;NC_047723.1;NC_047726.1,matched 'LysK'; inferred Amidase; free-endolysin (top of 3 candidate(s))
Staphylococcus phage Fi200W,NC_047725.1,YP_009781262.1,TmpD,808,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage Fi200W,NC_047725.1,YP_009781263.1,TmpE,295,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage MSA6,NC_047726.1,YP_009781456.1,LysK,495,Amidase,,,free-endolysin,Yes,,,,EU418428.2;NC_047722.1;NC_047723.1;NC_047725.1,matched 'LysK'; inferred Amidase; free-endolysin (top of 3 candidate(s))
Staphylococcus phage MSA6,NC_047726.1,YP_009781495.1,TmpD,808,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage MSA6,NC_047726.1,YP_009781496.1,TmpE,295,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
Staphylococcus phage P4W,NC_047727.1,YP_009781687.1,LysK,495,Amidase,"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, CHAP domain, IPR007921, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, N-acetylmuramoyl-L-alanine amidase, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, consensus disorder prediction, N-acetylmuramoyl-L-alanine amidase-like, endopeptidase domain like (from Nostoc punctiforme)",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'LysK'; inferred Amidase; free-endolysin (top of 1 candidate(s))
