Phage,Accession,Protein_ID,Product,Length_aa,Inferred_Domain,InterPro_Domain,InterPro_Verdict,Classification,Selected,tBLASTn_Identity_pct,tBLASTn_Note,Runtime_Flag,shared_by,Evidence
MH159197.1,MH159197.1,CDS_0016,endolysin,495,LysK-type (unspecified),,,free-endolysin,Yes,,,,KY779849.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 6 candidate(s))
MH159197.1,MH159197.1,CDS_0031,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
MH159197.1,MH159197.1,CDS_0061,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
MH159197.1,MH159197.1,CDS_0063,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
MH159197.1,MH159197.1,CDS_0064,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
MH159197.1,MH159197.1,CDS_0065,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
MN045228.1,MN045228.1,CDS_0087,endolysin,495,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN045228.1,MN045228.1,CDS_0100,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN045228.1,MN045228.1,CDS_0131,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
MN045228.1,MN045228.1,CDS_0133,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
MN045228.1,MN045228.1,CDS_0134,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
MN045228.1,MN045228.1,CDS_0135,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
MN047438.1,MN047438.1,CDS_0086,endolysin,209,LysK-type (unspecified),,,intron-split,Yes,,"lysK.1 N-terminal amidase moiety (~209 aa); full LysK ~495 aa across a self-splicing intron (Kornienko 2020, Viruses, TU16).",intron-split,EU418428.2;MF398190.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'LysK-type (unspecified)'; validated status 'intron-split' (curation registry)
MN047438.1,MN047438.1,CDS_0090,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MN047438.1,MN047438.1,CDS_0102,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MN047438.1,MN047438.1,CDS_0134,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,intron-split,,
MN047438.1,MN047438.1,CDS_0136,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MN047438.1,MN047438.1,CDS_0137,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MN047438.1,MN047438.1,CDS_0138,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MN047438.1,MN047438.1,CDS_0239,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MN150710.1,MN150710.1,CDS_0015,endolysin,250,LysK-type (unspecified),"endopeptidase domain like (from Nostoc punctiforme), CHAP domain, IPR007921, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, CHAP domain profile., Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, SH3 Domains",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 1 candidate(s))
MN336261.1,MN336261.1,CDS_0062,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
MN336261.1,MN336261.1,CDS_0066,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN336261.1,MN336261.1,CDS_0079,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN336261.1,MN336261.1,CDS_0109,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
MN336261.1,MN336261.1,CDS_0111,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
MN336261.1,MN336261.1,CDS_0112,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
MN336261.1,MN336261.1,CDS_0113,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
MN336261.1,MN336261.1,CDS_0212,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0062,endolysin,209,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0066,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0079,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0109,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,hnh-disrupted,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0111,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0112,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0113,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
"MN336262.1 Staphylococcus phage Sb1M_6168, complete genome",MN336262.1,CDS_0212,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0062,endolysin,209,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0066,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0079,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0109,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0111,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0112,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0113,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
"MN336263.1 Staphylococcus phage Sb1M_9832, complete genome",MN336263.1,CDS_0212,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MT926124.1,MT926124.1,CDS_0015,endolysin,249,LysK-type (unspecified),"endopeptidase domain like (from Nostoc punctiforme), Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., IPR007921, CHAP domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 1 candidate(s))
NC_007021.1,NC_007021.1,CDS_0030,tail associated lysin,1269,LysK-type (unspecified),"consensus disorder prediction, Coil, Phage tail lysozyme, IPR041219",confirmed-endolysin,vaph,Yes,45.0,"1269-aa phage tail lysozyme (Phage_lysozyme2), tail-anchored — virion-associated peptidoglycan hydrolase, not a free endolysin.",,,matched 'LysK-type (unspecified)'; validated status 'vaph' (curation registry)
NC_007021.1,NC_007021.1,CDS_0028,tail assembly chaperone,150,CHAP,,,non-endolysin,No,,,,,
NC_007021.1,NC_007021.1,CDS_0031,tail protein with lysin activity,800,LysK-type (unspecified),,,vaph,No,,,,,
NC_007021.1,NC_007021.1,CDS_0032,tail protein with lysin activity,285,LysK-type (unspecified),,,vaph,No,,,,,
NC_007021.1,NC_007021.1,CDS_0195,endolysin,467,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_007021.1,NC_007021.1,CDS_0205,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_007056.1,NC_007056.1,CDS_0028,endolysin,482,LysK-type (unspecified),"CHAP domain profile., IPR007921, CHAP domain, Amidase, SH3b domain profile., IPR003646, SH3-like domain, bacterial-type, PGRP, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, endopeptidase domain like (from Nostoc punctiforme), ami_2, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, N-acetylmuramoyl-L-alanine amidase, Bacterial SH3 domain, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, SH3 Domains",confirmed-endolysin,divergent-endolysin,Yes,,"576-aa NAGPA phosphodiester glycosidase, no SH3b CBD — a divergent free endolysin (outgroup lineage).",,,matched 'LysK-type (unspecified)'; validated status 'divergent-endolysin' (curation registry)
NC_007056.1,NC_007056.1,CDS_0015,tail assembly chaperone,167,CHAP,,,non-endolysin,No,,,,,
NC_007056.1,NC_007056.1,CDS_0025,tail associated cell-wall hydrolase,630,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
NC_019726.1,NC_019726.1,CDS_0014,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_019726.1,NC_019726.1,CDS_0015,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_019726.1,NC_019726.1,CDS_0016,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_019726.1,NC_019726.1,CDS_0018,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_019726.1,NC_019726.1,CDS_0049,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_019726.1,NC_019726.1,CDS_0062,endolysin,495,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_021863.1,NC_021863.1,CDS_0068,endolysin,481,LysK-type (unspecified),"N-acetylmuramoyl-L-alanine amidase, N-acetylmuramoyl-L-alanine amidase-like, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, consensus disorder prediction, Amidase, CHAP domain, IPR007921, SH3 Domains, endopeptidase domain like (from Nostoc punctiforme), CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, SH3b domain profile.",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 4 candidate(s))
NC_021863.1,NC_021863.1,CDS_0054,tail assembly chaperone,164,CHAP,,,non-endolysin,No,,,,,
NC_021863.1,NC_021863.1,CDS_0055,tail assembly chaperone,113,CHAP,,,non-endolysin,No,,,,,
NC_021863.1,NC_021863.1,CDS_0064,tail associated cell-wall hydrolase,624,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
NC_023009.1,NC_023009.1,CDS_0062,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_023009.1,NC_023009.1,CDS_0066,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_023009.1,NC_023009.1,CDS_0081,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_023009.1,NC_023009.1,CDS_0111,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_023009.1,NC_023009.1,CDS_0114,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
NC_023009.1,NC_023009.1,CDS_0115,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_023009.1,NC_023009.1,CDS_0116,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_023009.1,NC_023009.1,CDS_0197,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047722.1,NC_047722.1,CDS_0087,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_047722.1,NC_047722.1,CDS_0091,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047722.1,NC_047722.1,CDS_0104,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047722.1,NC_047722.1,CDS_0134,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047722.1,NC_047722.1,CDS_0136,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047722.1,NC_047722.1,CDS_0137,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047722.1,NC_047722.1,CDS_0138,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047722.1,NC_047722.1,CDS_0237,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047723.1,NC_047723.1,CDS_0085,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_047723.1,NC_047723.1,CDS_0089,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047723.1,NC_047723.1,CDS_0102,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047723.1,NC_047723.1,CDS_0134,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047723.1,NC_047723.1,CDS_0136,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
NC_047723.1,NC_047723.1,CDS_0137,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047723.1,NC_047723.1,CDS_0138,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047723.1,NC_047723.1,CDS_0220,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047724.1,NC_047724.1,CDS_0089,endolysin,209,LysK-type (unspecified),"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, SH3 Domains, N-acetylmuramoyl-L-alanine amidase-like, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, consensus disorder prediction",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_047724.1,NC_047724.1,CDS_0093,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047724.1,NC_047724.1,CDS_0106,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047724.1,NC_047724.1,CDS_0137,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047724.1,NC_047724.1,CDS_0139,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047724.1,NC_047724.1,CDS_0140,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047724.1,NC_047724.1,CDS_0141,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047724.1,NC_047724.1,CDS_0240,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047725.1,NC_047725.1,CDS_0086,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_047725.1,NC_047725.1,CDS_0090,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047725.1,NC_047725.1,CDS_0103,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047725.1,NC_047725.1,CDS_0135,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047725.1,NC_047725.1,CDS_0137,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047725.1,NC_047725.1,CDS_0138,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047725.1,NC_047725.1,CDS_0139,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047725.1,NC_047725.1,CDS_0238,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047726.1,NC_047726.1,CDS_0087,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_047726.1,NC_047726.1,CDS_0091,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047726.1,NC_047726.1,CDS_0103,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047726.1,NC_047726.1,CDS_0135,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047726.1,NC_047726.1,CDS_0137,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047726.1,NC_047726.1,CDS_0138,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047726.1,NC_047726.1,CDS_0139,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047726.1,NC_047726.1,CDS_0239,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047727.1,NC_047727.1,CDS_0086,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_047727.1,NC_047727.1,CDS_0090,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047727.1,NC_047727.1,CDS_0103,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047727.1,NC_047727.1,CDS_0135,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047727.1,NC_047727.1,CDS_0137,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047727.1,NC_047727.1,CDS_0138,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047727.1,NC_047727.1,CDS_0139,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047727.1,NC_047727.1,CDS_0238,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
