Species 1,Species 2,Dist
MN336262.1 Sb1M 6168,MH159197.1 VB SavM JYL01,0.001921789
MN336263.1 Sb1M 9832,MH159197.1 VB SavM JYL01,0.001921789
NC 019726.1 JD007,MH159197.1 VB SavM JYL01,0.001921789
NC 023009.1 aureus bacteriophage Sb 1,MH159197.1 VB SavM JYL01,0.001921789
NC 047722.1 Staph1N,MH159197.1 VB SavM JYL01,0.001921789
NC 047723.1 A3R,MH159197.1 VB SavM JYL01,0.001921789
NC 047724.1 676Z,MH159197.1 VB SavM JYL01,0.001921789
NC 047725.1 Fi200W,MH159197.1 VB SavM JYL01,0.001921789
NC 047727.1 P4W,MH159197.1 VB SavM JYL01,0.001921789
KY779849.1 qdsa002,MH159197.1 VB SavM JYL01,0
EU418428.2 A5W,MN045228.1 Maine,0.001923045
MF398190.1 vB SauM fRuSau02,MN045228.1 Maine,0.001923045
MN047438.1 vB SauM 515A1,MN045228.1 Maine,0.001923045
MN336261.1 Sb1 8383,MN045228.1 Maine,0.001923045
MN336262.1 Sb1M 6168,MN045228.1 Maine,0.001923045
MN336263.1 Sb1M 9832,MN045228.1 Maine,0.001923045
NC 019726.1 JD007,MN045228.1 Maine,0.001923045
NC 023009.1 aureus bacteriophage Sb 1,MN045228.1 Maine,0.001923045
NC 047722.1 Staph1N,MN045228.1 Maine,0.001923045
NC 047723.1 A3R,MN045228.1 Maine,0.001923045
NC 047724.1 676Z,MN045228.1 Maine,0.001923045
NC 047725.1 Fi200W,MN045228.1 Maine,0.001923045
NC 047727.1 P4W,MN045228.1 Maine,0.001923045
KY779849.1 qdsa002,MN045228.1 Maine,0.003844834
MH159197.1 VB SavM JYL01,MN045228.1 Maine,0.003844834
EU418428.2 A5W,NC 047726.1 MSA6,0
MF398190.1 vB SauM fRuSau02,NC 047726.1 MSA6,0
MN047438.1 vB SauM 515A1,NC 047726.1 MSA6,0
MN336261.1 Sb1 8383,NC 047726.1 MSA6,0
MN336262.1 Sb1M 6168,NC 047726.1 MSA6,0
MN336263.1 Sb1M 9832,NC 047726.1 MSA6,0
NC 019726.1 JD007,NC 047726.1 MSA6,0
NC 023009.1 aureus bacteriophage Sb 1,NC 047726.1 MSA6,0
NC 047722.1 Staph1N,NC 047726.1 MSA6,0
NC 047723.1 A3R,NC 047726.1 MSA6,0
NC 047724.1 676Z,NC 047726.1 MSA6,0
NC 047725.1 Fi200W,NC 047726.1 MSA6,0
NC 047727.1 P4W,NC 047726.1 MSA6,0
KY779849.1 qdsa002,NC 047726.1 MSA6,0.001921789
MH159197.1 VB SavM JYL01,NC 047726.1 MSA6,0.001921789
MN045228.1 Maine,NC 047726.1 MSA6,0.001923045
EU418428.2 A5W,NC 007021.1 Twort,0.35665687
MF398190.1 vB SauM fRuSau02,NC 007021.1 Twort,0.35665687
MN047438.1 vB SauM 515A1,NC 007021.1 Twort,0.35665687
MN336261.1 Sb1 8383,NC 007021.1 Twort,0.35665687
MN336262.1 Sb1M 6168,NC 007021.1 Twort,0.35665687
MN336263.1 Sb1M 9832,NC 007021.1 Twort,0.35665687
NC 019726.1 JD007,NC 007021.1 Twort,0.35665687
NC 023009.1 aureus bacteriophage Sb 1,NC 007021.1 Twort,0.35665687
NC 047722.1 Staph1N,NC 007021.1 Twort,0.35665687
NC 047723.1 A3R,NC 007021.1 Twort,0.35665687
NC 047724.1 676Z,NC 007021.1 Twort,0.35665687
NC 047725.1 Fi200W,NC 007021.1 Twort,0.35665687
NC 047727.1 P4W,NC 007021.1 Twort,0.35665687
KY779849.1 qdsa002,NC 007021.1 Twort,0.354735081
MH159197.1 VB SavM JYL01,NC 007021.1 Twort,0.354735081
MN045228.1 Maine,NC 007021.1 Twort,0.358579914
NC 047726.1 MSA6,NC 007021.1 Twort,0.35665687
EU418428.2 A5W,NC 007056.1 EW,2.988201059
MF398190.1 vB SauM fRuSau02,NC 007056.1 EW,2.988201059
MN047438.1 vB SauM 515A1,NC 007056.1 EW,2.988201059
MN336261.1 Sb1 8383,NC 007056.1 EW,2.988201059
MN336262.1 Sb1M 6168,NC 007056.1 EW,2.988201059
MN336263.1 Sb1M 9832,NC 007056.1 EW,2.988201059
NC 019726.1 JD007,NC 007056.1 EW,2.988201059
NC 023009.1 aureus bacteriophage Sb 1,NC 007056.1 EW,2.988201059
NC 047722.1 Staph1N,NC 007056.1 EW,2.988201059
NC 047723.1 A3R,NC 007056.1 EW,2.988201059
NC 047724.1 676Z,NC 007056.1 EW,2.988201059
NC 047725.1 Fi200W,NC 007056.1 EW,2.988201059
NC 047727.1 P4W,NC 007056.1 EW,2.988201059
KY779849.1 qdsa002,NC 007056.1 EW,2.98627927
MH159197.1 VB SavM JYL01,NC 007056.1 EW,2.98627927
MN045228.1 Maine,NC 007056.1 EW,2.990124103
NC 047726.1 MSA6,NC 007056.1 EW,2.988201059
NC 007021.1 Twort,NC 007056.1 EW,2.885145208
EU418428.2 A5W,NC 021863.1 SA13,3.736487471
MF398190.1 vB SauM fRuSau02,NC 021863.1 SA13,3.736487471
MN047438.1 vB SauM 515A1,NC 021863.1 SA13,3.736487471
MN336261.1 Sb1 8383,NC 021863.1 SA13,3.736487471
MN336262.1 Sb1M 6168,NC 021863.1 SA13,3.736487471
MN336263.1 Sb1M 9832,NC 021863.1 SA13,3.736487471
NC 019726.1 JD007,NC 021863.1 SA13,3.736487471
NC 023009.1 aureus bacteriophage Sb 1,NC 021863.1 SA13,3.736487471
NC 047722.1 Staph1N,NC 021863.1 SA13,3.736487471
NC 047723.1 A3R,NC 021863.1 SA13,3.736487471
NC 047724.1 676Z,NC 021863.1 SA13,3.736487471
NC 047725.1 Fi200W,NC 021863.1 SA13,3.736487471
NC 047727.1 P4W,NC 021863.1 SA13,3.736487471
KY779849.1 qdsa002,NC 021863.1 SA13,3.734565682
MH159197.1 VB SavM JYL01,NC 021863.1 SA13,3.734565682
MN045228.1 Maine,NC 021863.1 SA13,3.738410516
NC 047726.1 MSA6,NC 021863.1 SA13,3.736487471
NC 007021.1 Twort,NC 021863.1 SA13,3.63343162
NC 007056.1 EW,NC 021863.1 SA13,2.342149126
