QSBKKNFR_CDS_0066|NC_021863.1|NC_021863.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	389d46f2e6552b4df9d427994c188d4f	390	MobiDBLite	mobidb-lite	consensus disorder prediction	177	213	-	T	13-08-2026	-	-	-	-
QSBKKNFR_CDS_0066|NC_021863.1|NC_021863.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	389d46f2e6552b4df9d427994c188d4f	390	Gene3D	G3DSA:2.60.40.3350	-	14	125	7.1E-11	T	13-08-2026	-	-	-	-
QSBKKNFR_CDS_0066|NC_021863.1|NC_021863.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	389d46f2e6552b4df9d427994c188d4f	390	Gene3D	G3DSA:1.20.5.320	-	178	230	7.6E-6	T	13-08-2026	-	-	-	-
QSBKKNFR_CDS_0066|NC_021863.1|NC_021863.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	389d46f2e6552b4df9d427994c188d4f	390	Pfam	PF10651	BppU N-terminal domain	4	141	3.2E-33	T	13-08-2026	IPR018913	BppU, N-terminal	-	-
IWASFZMS_CDS_0148|NC_047723.1|NC_047723.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	860ebaf3b5c772f3f66941124612f013	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	7.8E-52	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
UOTWPFEP_CDS_0150|MF398190.1|MF398190.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	6b3656b3b074872c6ccec2bdd646846f	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	7.8E-52	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
QSBKKNFR_CDS_0062|NC_021863.1|NC_021863.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	43cfb6d8c8c0d200ef2c443658a32c9b	135	Coils	Coil	Coil	97	117	-	T	13-08-2026	-	-	-	-
QSBKKNFR_CDS_0062|NC_021863.1|NC_021863.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	43cfb6d8c8c0d200ef2c443658a32c9b	135	Pfam	PF11192	Protein of unknown function (DUF2977)	1	61	3.7E-27	T	13-08-2026	IPR021358	Protein of unknown function DUF2977	-	-
QSBKKNFR_CDS_0062|NC_021863.1|NC_021863.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	43cfb6d8c8c0d200ef2c443658a32c9b	135	MobiDBLite	mobidb-lite	consensus disorder prediction	114	135	-	T	13-08-2026	-	-	-	-
EFHHZKLU_CDS_0045|NC_007021.1|NC_007021.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	cf26b5c5746a328bd671733c9269a8ec	442	Pfam	PF23624	ORF68-like, C-terminal domain	326	441	4.9E-46	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
CUEFGUWM_CDS_0003|NC_019726.1|NC_019726.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	fb7776214584d268e967b5f44459f30c	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	1.6E-52	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
GBLODFKD_CDS_0076|MH159197.1|MH159197.1|subtype=tail_fiber|conf=confirmed|src=product_qualifier|tail	985d8df3f84e651986fc32f32a0ef89d	458	Pfam	PF23624	ORF68-like, C-terminal domain	337	458	3.0E-52	T	13-08-2026	IPR057110	ORF68, C-terminal	-	-
