ID	start	end	strand	phrog_id	phrog_category	phynteny_category	phynteny_score	phynteny_confidence	phage
EU418428.2_48	15100	15319	-	3686	unknown function	moron, auxiliary metabolic gene and host takeover	6.9456	0.2466	EU418428.2
EU418428.2_49	15319	15514	-	3950	unknown function	DNA, RNA and nucleotide metabolism	1.6934	0.2139	EU418428.2
EU418428.2_50	15503	16241	-	3464	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_51	16303	16408	-	5230	unknown function	moron, auxiliary metabolic gene and host takeover	8.3634	0.3800	EU418428.2
EU418428.2_52	16419	16659	-	3697	unknown function	DNA, RNA and nucleotide metabolism	1.0121	0.2225	EU418428.2
EU418428.2_53	16660	17050	-	28554	other	NA	NA	NA	EU418428.2
EU418428.2_54	17148	17322	-	3504	other	NA	NA	NA	EU418428.2
EU418428.2_55	17362	17845	-	3319	unknown function	DNA, RNA and nucleotide metabolism	1.4790	0.2032	EU418428.2
EU418428.2_56	17894	18437	-	3635	unknown function	DNA, RNA and nucleotide metabolism	1.3360	0.1853	EU418428.2
EU418428.2_57	18436	18970	-	3702	unknown function	DNA, RNA and nucleotide metabolism	1.0361	0.2141	EU418428.2
EU418428.2_58	18972	19137	-	152	transcription regulation	NA	NA	NA	EU418428.2
EU418428.2_59	19139	19418	-	3751	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_60	19417	20263	-	1909	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_61	20274	21393	-	249	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_62	21416	21518	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	2.0984	0.1604	EU418428.2
EU418428.2_63	21545	21872	-	2861	unknown function	DNA, RNA and nucleotide metabolism	1.2994	0.1872	EU418428.2
EU418428.2_64	21864	22281	-	2708	other	NA	NA	NA	EU418428.2
EU418428.2_65	22413	22716	-	715	other	NA	NA	NA	EU418428.2
EU418428.2_66	22715	22904	-	3048	unknown function	DNA, RNA and nucleotide metabolism	1.2415	0.2123	EU418428.2
EU418428.2_67	22947	23109	-	2966	unknown function	DNA, RNA and nucleotide metabolism	1.0532	0.2056	EU418428.2
EU418428.2_68	23108	25157	-	3200	unknown function	DNA, RNA and nucleotide metabolism	2.3430	0.1886	EU418428.2
EU418428.2_69	25234	25498	-	2811	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_70	25514	25688	-	1274	lysis	NA	NA	NA	EU418428.2
EU418428.2_71	25694	26273	-	2642	unknown function	lysis	2.6487	0.3736	EU418428.2
EU418428.2_72	26265	26892	-	1817	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_73	26884	27781	-	548	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_74	27780	28005	-	3093	unknown function	lysis	3.5377	0.2355	EU418428.2
EU418428.2_75	28073	28814	-	170	other	NA	NA	NA	EU418428.2
EU418428.2_76	28865	29480	-	2995	unknown function	DNA, RNA and nucleotide metabolism	2.2660	0.2232	EU418428.2
EU418428.2_77	29495	29921	-	531	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_78	29910	30102	-	2706	unknown function	moron, auxiliary metabolic gene and host takeover	8.2778	0.3698	EU418428.2
EU418428.2_79	30124	30766	-	2896	unknown function	DNA, RNA and nucleotide metabolism	2.7267	0.2013	EU418428.2
EU418428.2_80	30755	30986	-	3	transcription regulation	NA	NA	NA	EU418428.2
EU418428.2_81	30988	31216	-	2770	unknown function	lysis	1.1812	0.2257	EU418428.2
EU418428.2_82	31325	32018	-	3310	other	NA	NA	NA	EU418428.2
EU418428.2_83	32207	32843	-	374	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_84	32909	33701	-	200	other	NA	NA	NA	EU418428.2
EU418428.2_85	33700	34009	-	3667	unknown function	lysis	1.2573	0.2415	EU418428.2
EU418428.2_86	34121	34751	-	833	lysis	NA	NA	NA	EU418428.2
EU418428.2_87	34986	35076	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.3805	0.1680	EU418428.2
EU418428.2_88	35021	35522	-	59	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_89	35614	35716	+	No_PHROG	unknown function	lysis	3.4782	0.1799	EU418428.2
EU418428.2_90	35681	36485	-	635	lysis	NA	NA	NA	EU418428.2
EU418428.2_91	36484	36988	-	962	lysis	NA	NA	NA	EU418428.2
EU418428.2_92	37072	37258	-	987	unknown function	DNA, RNA and nucleotide metabolism	3.0000	0.1916	EU418428.2
EU418428.2_93	37320	37449	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	7.3861	0.2767	EU418428.2
EU418428.2_94	37659	37764	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	8.9031	0.4800	EU418428.2
EU418428.2_95	37933	38056	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	8.8477	0.4672	EU418428.2
EU418428.2_96	38446	38554	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.3641	0.6139	EU418428.2
EU418428.2_97	38554	38725	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.4698	0.6650	EU418428.2
EU418428.2_98	38804	39023	-	1257	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_99	39136	39277	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.9020	0.9192	EU418428.2
EU418428.2_100	39500	39710	-	17190	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_101	39722	40055	-	937	other	NA	NA	NA	EU418428.2
EU418428.2_102	40067	40394	-	1481	unknown function	head and packaging	1.9630	0.3474	EU418428.2
EU418428.2_103	40426	40693	-	4526	unknown function	moron, auxiliary metabolic gene and host takeover	9.8578	0.8913	EU418428.2
EU418428.2_104	40787	40880	-	No_PHROG	unknown function	head and packaging	1.5955	0.3664	EU418428.2
EU418428.2_105	40953	41220	+	3395	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_106	41197	41476	+	1321	unknown function	head and packaging	5.6314	0.2807	EU418428.2
EU418428.2_107	41556	41883	+	1063	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_108	41897	43715	+	675	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_109	43707	44529	+	1917	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_110	44599	44689	+	3863	unknown function	head and packaging	5.4214	0.2331	EU418428.2
EU418428.2_111	44685	45165	+	1116	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_112	45257	46400	+	3094	unknown function	head and packaging	2.7588	0.2209	EU418428.2
EU418428.2_113	46485	46827	+	3937	unknown function	moron, auxiliary metabolic gene and host takeover	7.3224	0.3014	EU418428.2
EU418428.2_114	46904	47216	+	1108	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_115	47219	48911	+	12	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_116	49137	49878	+	1028	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_117	49896	50853	+	1133	unknown function	head and packaging	9.1379	0.5391	EU418428.2
EU418428.2_118	50968	52360	+	752	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_119	52451	52748	+	1205	unknown function	head and packaging	8.0208	0.3368	EU418428.2
EU418428.2_120	52760	53669	+	772	tail	NA	NA	NA	EU418428.2
EU418428.2_121	53682	54561	+	1004	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_122	54560	55181	+	1127	connector	NA	NA	NA	EU418428.2
EU418428.2_123	55199	56036	+	1000	tail	NA	NA	NA	EU418428.2
EU418428.2_124	56037	56253	+	1151	unknown function	head and packaging	8.0867	0.3985	EU418428.2
EU418428.2_125	56279	58043	+	279	tail	NA	NA	NA	EU418428.2
EU418428.2_126	58115	58544	+	985	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_127	58640	58781	+	2701	unknown function	head and packaging	7.0551	0.3146	EU418428.2
EU418428.2_128	58823	59282	+	1905	unknown function	head and packaging	4.4676	0.3099	EU418428.2
EU418428.2_129	59294	59489	+	4320	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_130	59570	59882	+	2754	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_131	60013	60472	+	1038	tail	NA	NA	NA	EU418428.2
EU418428.2_132	60515	61052	+	1316	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_133	61104	65163	+	1047	tail	NA	NA	NA	EU418428.2
EU418428.2_134	65241	67668	+	1015	tail	NA	NA	NA	EU418428.2
EU418428.2_135	67681	68569	+	2677	tail	NA	NA	NA	EU418428.2
EU418428.2_136	68568	71115	+	2204	other	NA	NA	NA	EU418428.2
EU418428.2_137	71221	72013	+	1011	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_138	72012	72537	+	1073	unknown function	head and packaging	5.6422	0.2592	EU418428.2
EU418428.2_139	72536	73241	+	975	tail	NA	NA	NA	EU418428.2
EU418428.2_140	73255	74302	+	6	tail	NA	NA	NA	EU418428.2
EU418428.2_141	74322	77382	+	2386	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_142	77492	78014	+	1394	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_143	78034	81493	+	25864	tail	NA	NA	NA	EU418428.2
EU418428.2_144	81541	81700	+	1074	unknown function	head and packaging	2.5906	0.2513	EU418428.2
EU418428.2_145	81700	83623	+	2665	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_146	83645	84020	+	2671	tail	NA	NA	NA	EU418428.2
EU418428.2_147	84026	85403	+	2691	tail	NA	NA	NA	EU418428.2
EU418428.2_148	85494	87243	+	16	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_149	87254	88868	+	1098	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_150	88860	90303	+	19	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_151	90381	91419	+	100	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_152	91418	91796	+	2773	unknown function	moron, auxiliary metabolic gene and host takeover	8.8555	0.4678	EU418428.2
EU418428.2_153	91795	93715	+	77	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_154	93714	94311	+	1070	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_155	94325	95393	+	47	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_156	95459	95798	+	1291	unknown function	moron, auxiliary metabolic gene and host takeover	8.3898	0.3833	EU418428.2
EU418428.2_157	95797	96250	+	1095	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_158	96236	96845	+	244	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_159	96861	97254	+	883	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_160	97268	99383	+	84	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_161	99396	100446	+	86	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_162	100463	100793	+	2797	unknown function	moron, auxiliary metabolic gene and host takeover	7.2001	0.2903	EU418428.2
EU418428.2_163	100776	101097	+	22	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_164	101125	101233	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.7130	0.7853	EU418428.2
EU418428.2_165	101303	101900	+	15477	other	NA	NA	NA	EU418428.2
EU418428.2_166	101909	102215	+	379	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_167	102290	103163	+	4008	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_168	103328	103841	+	2340	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_169	103976	105320	+	17	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_170	105385	105481	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.8764	0.2306	EU418428.2
EU418428.2_171	105587	106295	+	59	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_172	106355	106460	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	2.0214	0.2066	EU418428.2
EU418428.2_173	106528	107389	+	2573	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_174	107457	107700	+	3621	unknown function	head and packaging	1.3073	0.1800	EU418428.2
EU418428.2_175	107716	108199	+	1069	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_176	108285	109557	+	2672	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_177	109616	110873	+	97	other	NA	NA	NA	EU418428.2
EU418428.2_178	110876	111230	+	1089	unknown function	DNA, RNA and nucleotide metabolism	1.1724	0.2195	EU418428.2
EU418428.2_179	111216	111879	+	1025	transcription regulation	NA	NA	NA	EU418428.2
EU418428.2_180	111884	111983	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	4.1017	0.2149	EU418428.2
EU418428.2_181	112006	112639	+	1240	other	NA	NA	NA	EU418428.2
EU418428.2_182	112652	113174	+	341	tail	NA	NA	NA	EU418428.2
EU418428.2_183	113188	113416	+	1696	tail	NA	NA	NA	EU418428.2
EU418428.2_184	113511	113772	+	2673	unknown function	head and packaging	2.8693	0.1905	EU418428.2
EU418428.2_185	113775	114531	+	1850	other	NA	NA	NA	EU418428.2
EU418428.2_186	114523	115774	+	284	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_187	115787	116156	+	2892	unknown function	moron, auxiliary metabolic gene and host takeover	7.5639	0.3312	EU418428.2
EU418428.2_188	116142	116454	+	3644	unknown function	head and packaging	1.4746	0.2061	EU418428.2
EU418428.2_189	116517	117054	+	1080	unknown function	head and packaging	3.0046	0.2043	EU418428.2
EU418428.2_190	117046	117814	+	984	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_191	117791	118238	+	2356	unknown function	head and packaging	3.5212	0.1853	EU418428.2
EU418428.2_192	118237	119101	+	1113	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_193	119472	120204	+	1007	unknown function	head and packaging	6.3343	0.2773	EU418428.2
EU418428.2_194	120221	120680	+	1104	head and packaging	NA	NA	NA	EU418428.2
EU418428.2_195	120744	121188	+	1303	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_196	121204	121909	+	2726	unknown function	head and packaging	1.5729	0.1657	EU418428.2
EU418428.2_197	121970	122369	+	2863	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_198	122515	122758	+	3157	unknown function	head and packaging	1.4964	0.1753	EU418428.2
EU418428.2_199	122762	122927	+	6754	unknown function	moron, auxiliary metabolic gene and host takeover	5.6820	0.2003	EU418428.2
EU418428.2_200	122913	123093	+	7869	unknown function	head and packaging	1.1952	0.1855	EU418428.2
EU418428.2_201	123128	123305	+	3664	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_202	123294	123828	+	3854	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_203	123842	123986	+	4009	unknown function	moron, auxiliary metabolic gene and host takeover	9.1029	0.5293	EU418428.2
EU418428.2_204	123997	124174	+	3524	unknown function	moron, auxiliary metabolic gene and host takeover	6.4333	0.2609	EU418428.2
EU418428.2_205	124166	124463	+	3128	unknown function	moron, auxiliary metabolic gene and host takeover	6.2538	0.2244	EU418428.2
EU418428.2_206	124501	124693	+	3640	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_207	124705	125074	+	3669	unknown function	moron, auxiliary metabolic gene and host takeover	7.8737	0.3462	EU418428.2
EU418428.2_208	125086	125434	+	2988	unknown function	moron, auxiliary metabolic gene and host takeover	5.8894	0.2329	EU418428.2
EU418428.2_209	125439	125712	+	3804	unknown function	moron, auxiliary metabolic gene and host takeover	9.5039	0.6729	EU418428.2
EU418428.2_210	125781	126087	+	3143	unknown function	DNA, RNA and nucleotide metabolism	1.1707	0.2142	EU418428.2
EU418428.2_211	126101	126452	+	3752	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_212	126451	127054	+	4208	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_213	127067	127247	+	3701	unknown function	moron, auxiliary metabolic gene and host takeover	7.6418	0.2982	EU418428.2
EU418428.2_214	127375	127474	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	8.9462	0.4877	EU418428.2
EU418428.2_215	127473	127875	+	1486	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_216	127876	128170	+	5835	unknown function	moron, auxiliary metabolic gene and host takeover	8.7555	0.4825	EU418428.2
EU418428.2_217	128186	128474	+	1486	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_218	128484	128601	+	4580	transcription regulation	NA	NA	NA	EU418428.2
EU418428.2_219	128590	128854	+	4584	other	NA	NA	NA	EU418428.2
EU418428.2_220	128930	129110	+	4743	unknown function	moron, auxiliary metabolic gene and host takeover	9.7634	0.8171	EU418428.2
EU418428.2_221	129122	129386	+	4418	unknown function	moron, auxiliary metabolic gene and host takeover	4.9635	0.2294	EU418428.2
EU418428.2_222	129388	129706	+	4081	unknown function	moron, auxiliary metabolic gene and host takeover	4.8900	0.2147	EU418428.2
EU418428.2_223	129706	130387	+	4650	unknown function	DNA, RNA and nucleotide metabolism	1.9730	0.2166	EU418428.2
EU418428.2_224	130475	130634	+	4430	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	EU418428.2
EU418428.2_225	130668	130869	+	3453	unknown function	moron, auxiliary metabolic gene and host takeover	4.9911	0.2137	EU418428.2
EU418428.2_226	130869	131160	+	4096	unknown function	moron, auxiliary metabolic gene and host takeover	8.4913	0.3988	EU418428.2
EU418428.2_227	131251	131560	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_228	131556	132465	+	619	other	NA	NA	NA	EU418428.2
EU418428.2_229	132482	133952	+	448	other	NA	NA	NA	EU418428.2
EU418428.2_230	134030	134276	+	4028	unknown function	moron, auxiliary metabolic gene and host takeover	2.4439	0.3070	EU418428.2
EU418428.2_231	134295	134688	+	3847	unknown function	DNA, RNA and nucleotide metabolism	1.6187	0.2030	EU418428.2
EU418428.2_232	134689	134911	+	4340	unknown function	moron, auxiliary metabolic gene and host takeover	4.2867	0.3073	EU418428.2
EU418428.2_233	134975	135287	+	6716	other	NA	NA	NA	EU418428.2
EU418428.2_234	135289	135799	+	4855	lysis	NA	NA	NA	EU418428.2
EU418428.2_235	135800	136130	+	4637	unknown function	DNA, RNA and nucleotide metabolism	1.4955	0.1575	EU418428.2
EU418428.2_236	136135	136330	+	4983	unknown function	DNA, RNA and nucleotide metabolism	1.1507	0.1775	EU418428.2
EU418428.2_237	136353	136668	+	5741	unknown function	moron, auxiliary metabolic gene and host takeover	2.3452	0.1834	EU418428.2
EU418428.2_238	136682	136850	+	5729	unknown function	moron, auxiliary metabolic gene and host takeover	3.0244	0.1861	EU418428.2
EU418428.2_239	136886	136988	+	7862	unknown function	moron, auxiliary metabolic gene and host takeover	8.7777	0.4519	EU418428.2
EU418428.2_240	136962	137070	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	4.9741	0.1914	EU418428.2
EU418428.2_241	137171	137267	-	No_PHROG	unknown function	transcription regulation	6.2432	0.2102	EU418428.2
EU418428.2_242	137360	137468	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	5.0101	0.1917	EU418428.2
EU418428.2_243	137572	137872	+	654	unknown function	DNA, RNA and nucleotide metabolism	1.0481	0.1773	EU418428.2
EU418428.2_244	137887	138073	+	3204	unknown function	moron, auxiliary metabolic gene and host takeover	7.3545	0.3415	EU418428.2
EU418428.2_245	138179	138470	+	654	unknown function	DNA, RNA and nucleotide metabolism	1.0410	0.1800	EU418428.2
EU418428.2_246	138469	138757	+	654	unknown function	DNA, RNA and nucleotide metabolism	1.3463	0.2143	EU418428.2
EU418428.2_247	138756	139050	+	654	unknown function	DNA, RNA and nucleotide metabolism	1.4997	0.2001	EU418428.2
EU418428.2_248	139053	139311	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_249	139388	139628	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_250	139638	139986	+	3522	unknown function	integration and excision	1.3162	0.1885	EU418428.2
EU418428.2_251	140194	140533	-	3077	unknown function	DNA, RNA and nucleotide metabolism	1.2243	0.2213	EU418428.2
EU418428.2_252	140511	140661	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	6.4670	0.3175	EU418428.2
EU418428.2_253	140684	140798	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	5.9693	0.2892	EU418428.2
EU418428.2_254	140844	141153	+	2601	unknown function	DNA, RNA and nucleotide metabolism	1.9959	0.2111	EU418428.2
EU418428.2_255	141171	141369	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	6.6109	0.3168	EU418428.2
EU418428.2_256	141358	141643	+	3164	unknown function	DNA, RNA and nucleotide metabolism	1.8100	0.2033	EU418428.2
EU418428.2_257	141717	141909	+	3388	other	NA	NA	NA	EU418428.2
EU418428.2_258	141895	141991	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	4.7558	0.2608	EU418428.2
EU418428.2_259	142017	142158	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.5755	0.1790	EU418428.2
EU418428.2_260	142225	142714	-	59	DNA, RNA and nucleotide metabolism	NA	NA	NA	EU418428.2
EU418428.2_261	142872	143040	+	3325	other	NA	NA	NA	EU418428.2
