Phage,Accession,Protein_ID,Product,Length_aa,Inferred_Domain,InterPro_Domain,InterPro_Verdict,Classification,Selected,tBLASTn_Identity_pct,tBLASTn_Note,Runtime_Flag,shared_by,Evidence
KY779849.1 - Phynteny annotated genome,KY779849.1,KY779849.1_144,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
KY779849.1 - Phynteny annotated genome,KY779849.1,KY779849.1_145,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
KY779849.1 - Phynteny annotated genome,KY779849.1,KY779849.1_146,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
KY779849.1 - Phynteny annotated genome,KY779849.1,KY779849.1_226,carboxypeptidase,89,Peptidase (unspecified — verify),,,uncertain,No,,,,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_87,endolysin,209,LysK-type (unspecified),,,intron-split,Yes,,lysK.1 N-terminal amidase moiety (~209 aa); same architecture as MN047438.,intron-split,EU418428.2;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'LysK-type (unspecified)'; validated status 'intron-split' (curation registry)
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_91,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_101,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_133,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,intron-split,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_135,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_136,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_137,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_222,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,intron-split,,
MF398190.1 - Phynteny annotated genome,MF398190.1,MF398190.1_237,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MH159197.1 - Phynteny annotated genome,MH159197.1,MH159197.1_16,endolysin,495,LysK-type (unspecified),,,free-endolysin,Yes,,,,KY779849.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 7 candidate(s))
MH159197.1 - Phynteny annotated genome,MH159197.1,MH159197.1_29,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
MH159197.1 - Phynteny annotated genome,MH159197.1,MH159197.1_59,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
MH159197.1 - Phynteny annotated genome,MH159197.1,MH159197.1_61,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
MH159197.1 - Phynteny annotated genome,MH159197.1,MH159197.1_62,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
MH159197.1 - Phynteny annotated genome,MH159197.1,MH159197.1_63,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
MH159197.1 - Phynteny annotated genome,MH159197.1,MH159197.1_143,carboxypeptidase,89,Peptidase (unspecified — verify),,,uncertain,No,,,,,
MN045228.1 - Phynteny annotated genome,MN045228.1,MN045228.1_86,endolysin,495,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN045228.1 - Phynteny annotated genome,MN045228.1,MN045228.1_97,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN045228.1 - Phynteny annotated genome,MN045228.1,MN045228.1_128,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
MN045228.1 - Phynteny annotated genome,MN045228.1,MN045228.1_130,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
MN045228.1 - Phynteny annotated genome,MN045228.1,MN045228.1_131,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
MN045228.1 - Phynteny annotated genome,MN045228.1,MN045228.1_132,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
MN045228.1 - Phynteny annotated genome,MN045228.1,MN045228.1_213,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_85,endolysin,209,LysK-type (unspecified),,,intron-split,Yes,,"lysK.1 N-terminal amidase moiety (~209 aa); full LysK ~495 aa across a self-splicing intron (Kornienko 2020, Viruses, TU16).",intron-split,EU418428.2;MF398190.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'LysK-type (unspecified)'; validated status 'intron-split' (curation registry)
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_89,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_99,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_131,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,intron-split,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_133,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_134,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_135,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,intron-split,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_221,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,intron-split,,
MN047438.1 - Phynteny annotated genome,MN047438.1,MN047438.1_236,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,intron-split,,
MN150710.1 - Phynteny annotated genome,MN150710.1,MN150710.1_15,endolysin,250,LysK-type (unspecified),"endopeptidase domain like (from Nostoc punctiforme), CHAP domain, IPR007921, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, CHAP domain profile., Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, SH3 Domains",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 2 candidate(s))
MN150710.1 - Phynteny annotated genome,MN150710.1,MN150710.1_11,tail protein with lysin activity,479,LysK-type (unspecified),,,vaph,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_61,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 9 candidate(s))
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_65,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_76,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_106,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_108,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_109,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_110,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_194,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,,,
MN336261.1 - Phynteny annotated genome,MN336261.1,MN336261.1_209,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_61,endolysin,209,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_65,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_76,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_106,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_108,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_109,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_110,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_194,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,hnh-disrupted,,
MN336262.1 - Phynteny annotated genome,MN336262.1,MN336262.1_209,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_61,endolysin,209,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_65,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_76,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_106,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_108,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_109,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_110,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_194,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,hnh-disrupted,,
MN336263.1 - Phynteny annotated genome,MN336263.1,MN336263.1_209,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,hnh-disrupted,,
MT926124.1 - Phynteny annotated genome,MT926124.1,MT926124.1_15,endolysin,249,LysK-type (unspecified),"endopeptidase domain like (from Nostoc punctiforme), Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, SH3 Domains, CHAP domain profile., IPR007921, CHAP domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 2 candidate(s))
MT926124.1 - Phynteny annotated genome,MT926124.1,MT926124.1_11,tail protein with lysin activity,479,LysK-type (unspecified),,,vaph,No,,,,,
NC_007021.1 - Phynteny annotated genome,NC_007021.1,NC_007021.1_30,tail associated lysin,1269,LysK-type (unspecified),"consensus disorder prediction, Coil, Phage tail lysozyme, IPR041219",confirmed-endolysin,vaph,Yes,45.0,"1269-aa phage tail lysozyme (Phage_lysozyme2), tail-anchored — virion-associated peptidoglycan hydrolase, not a free endolysin.",,,matched 'LysK-type (unspecified)'; validated status 'vaph' (curation registry)
NC_007021.1 - Phynteny annotated genome,NC_007021.1,NC_007021.1_28,tail assembly chaperone,150,CHAP,,,non-endolysin,No,,,,,
NC_007021.1 - Phynteny annotated genome,NC_007021.1,NC_007021.1_31,tail protein with lysin activity,800,LysK-type (unspecified),,,vaph,No,,,,,
NC_007021.1 - Phynteny annotated genome,NC_007021.1,NC_007021.1_32,tail protein with lysin activity,285,LysK-type (unspecified),,,vaph,No,,,,,
NC_007021.1 - Phynteny annotated genome,NC_007021.1,NC_007021.1_151,nucleotide pyrophosphohydrolase,85,Hydrolase (unspecified — verify; may be non-PG),,,non-endolysin,No,,,,,
NC_007021.1 - Phynteny annotated genome,NC_007021.1,NC_007021.1_194,endolysin,467,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_007021.1 - Phynteny annotated genome,NC_007021.1,NC_007021.1_204,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_007056.1 - Phynteny annotated genome,NC_007056.1,NC_007056.1_28,endolysin,482,LysK-type (unspecified),"CHAP domain profile., IPR007921, CHAP domain, Amidase, SH3b domain profile., IPR003646, SH3-like domain, bacterial-type, PGRP, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, endopeptidase domain like (from Nostoc punctiforme), ami_2, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, N-acetylmuramoyl-L-alanine amidase, Bacterial SH3 domain, sh3_bac_9, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, N-acetylmuramoyl-L-alanine amidase-like, SH3 Domains",confirmed-endolysin,divergent-endolysin,Yes,,"576-aa NAGPA phosphodiester glycosidase, no SH3b CBD — a divergent free endolysin (outgroup lineage).",,,matched 'LysK-type (unspecified)'; validated status 'divergent-endolysin' (curation registry)
NC_007056.1 - Phynteny annotated genome,NC_007056.1,NC_007056.1_15,tail chaperone protein,167,CHAP,,,non-endolysin,No,,,,,
NC_007056.1 - Phynteny annotated genome,NC_007056.1,NC_007056.1_25,tail associated cell-wall hydrolase,630,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
NC_007056.1 - Phynteny annotated genome,NC_007056.1,NC_007056.1_70,nucleotide pyrophosphohydrolase,91,Hydrolase (unspecified — verify; may be non-PG),,,non-endolysin,No,,,,,
NC_019726.1 - Phynteny annotated genome,NC_019726.1,NC_019726.1_14,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_019726.1 - Phynteny annotated genome,NC_019726.1,NC_019726.1_15,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_019726.1 - Phynteny annotated genome,NC_019726.1,NC_019726.1_16,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_019726.1 - Phynteny annotated genome,NC_019726.1,NC_019726.1_18,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_019726.1 - Phynteny annotated genome,NC_019726.1,NC_019726.1_49,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_019726.1 - Phynteny annotated genome,NC_019726.1,NC_019726.1_60,endolysin,495,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_021863.1 - Phynteny annotated genome,NC_021863.1,NC_021863.1_68,endolysin,481,LysK-type (unspecified),"N-acetylmuramoyl-L-alanine amidase, N-acetylmuramoyl-L-alanine amidase-like, IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, ami_2, IPR002502, N-acetylmuramoyl-L-alanine amidase domain, sh3_bac_9, IPR003646, SH3-like domain, bacterial-type, consensus disorder prediction, Amidase, CHAP domain, IPR007921, SH3 Domains, endopeptidase domain like (from Nostoc punctiforme), CHAP domain profile., Bacterial SH3 domain, Cysteine proteinases, IPR038765, Papain-like cysteine peptidase superfamily, PGRP, SH3b domain profile.",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 4 candidate(s))
NC_021863.1 - Phynteny annotated genome,NC_021863.1,NC_021863.1_33,nucleoside triphosphate pyrophosphohydrolase,178,Hydrolase (unspecified — verify; may be non-PG),,,non-endolysin,No,,,,,
NC_021863.1 - Phynteny annotated genome,NC_021863.1,NC_021863.1_54,tail chaperone protein,164,CHAP,,,non-endolysin,No,,,,,
NC_021863.1 - Phynteny annotated genome,NC_021863.1,NC_021863.1_64,tail associated cell-wall hydrolase,624,Hydrolase (unspecified — verify; may be non-PG),,,vaph,No,,,,,
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_61,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_65,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_78,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_108,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_111,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_112,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_113,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_023009.1 - Phynteny annotated genome,NC_023009.1,NC_023009.1_194,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_86,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047723.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 9 candidate(s))
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_90,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_101,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_131,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_133,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_134,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_135,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_219,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,,,
NC_047722.1 - Phynteny annotated genome,NC_047722.1,NC_047722.1_234,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_84,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047725.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 8 candidate(s))
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_88,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_99,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_131,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_133,tail associated lysin,1351,LysK-type (unspecified),,,vaph,No,,,,,
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_134,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_135,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047723.1 - Phynteny annotated genome,NC_047723.1,NC_047723.1_217,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_88,endolysin,209,LysK-type (unspecified),"IPR036505, N-acetylmuramoyl-L-alanine amidase/PGRP domain superfamily, SH3 Domains, N-acetylmuramoyl-L-alanine amidase-like, Bacterial SH3 domain, IPR003646, SH3-like domain, bacterial-type, sh3_bac_9, consensus disorder prediction",confirmed-endolysin,free-endolysin,Yes,,,,,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 9 candidate(s))
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_92,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_103,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_134,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_136,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_137,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_138,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_222,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,,,
NC_047724.1 - Phynteny annotated genome,NC_047724.1,NC_047724.1_237,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_85,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047726.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 9 candidate(s))
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_89,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_100,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_132,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_134,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_135,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_136,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_220,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,,,
NC_047725.1 - Phynteny annotated genome,NC_047725.1,NC_047725.1_235,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_86,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047727.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 9 candidate(s))
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_90,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_100,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_132,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
