Phage,Accession,Class,Family,SubFamily,Genome_Size_bp,GC_Percent,CDS_Count,tRNA_Count,NCBI_Status,qc_status,qc_flags,annotation_present,duplicate_group,is_representative,taxonomy_flag,seq_md5,source_file
NC_007056.1 - Phynteny annotated genome,NC_007056.1,Caudoviricetes,Unassigned,Unassigned,45286,35.99,82,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,97b48f859ad08fdd6260c2215fe6e773,GenBank\Aureus_Phynteny_split\NC_007056.1.gbk
NC_019726.1 - Phynteny annotated genome,NC_019726.1,Caudoviricetes,Unassigned,Unassigned,141836,30.37,247,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,77d8dc7803b06a1d3828fa98d54005e5,GenBank\Aureus_Phynteny_split\NC_019726.1.gbk
NC_021863.1 - Phynteny annotated genome,NC_021863.1,Caudoviricetes,Unassigned,Unassigned,42652,35.42,74,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,bc4b2b84b552df7dc0773838bc397b96,GenBank\Aureus_Phynteny_split\NC_021863.1.gbk
NC_023009.1 - Phynteny annotated genome,NC_023009.1,Caudoviricetes,Unassigned,Unassigned,127188,30.48,215,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,73deb1acfd0b9fa719cae4a27753ab45,GenBank\Aureus_Phynteny_split\NC_023009.1.gbk
NC_047722.1 - Phynteny annotated genome,NC_047722.1,Caudoviricetes,Unassigned,Unassigned,145647,30.41,270,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,d76ea67eaea8b5fe4070f12cde23e791,GenBank\Aureus_Phynteny_split\NC_047722.1.gbk
NC_047723.1 - Phynteny annotated genome,NC_047723.1,Caudoviricetes,Unassigned,Unassigned,141018,30.5,252,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,84a9e147d107e236fc1129f3dbeed5bf,GenBank\Aureus_Phynteny_split\NC_047723.1.gbk
NC_047724.1 - Phynteny annotated genome,NC_047724.1,Caudoviricetes,Unassigned,Unassigned,148564,30.41,274,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,532b7cf4f3b3d1da1ccf629f47cbae3d,GenBank\Aureus_Phynteny_split\NC_047724.1.gbk
NC_047725.1 - Phynteny annotated genome,NC_047725.1,Caudoviricetes,Unassigned,Unassigned,148481,30.39,268,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,6695566f6f4566a7306a0f40353a03fd,GenBank\Aureus_Phynteny_split\NC_047725.1.gbk
NC_047726.1 - Phynteny annotated genome,NC_047726.1,Caudoviricetes,Unassigned,Unassigned,148243,30.24,271,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,ca5a1eabb9152d8c8e3eef3030cbde31,GenBank\Aureus_Phynteny_split\NC_047726.1.gbk
NC_047727.1 - Phynteny annotated genome,NC_047727.1,Caudoviricetes,Unassigned,Unassigned,147590,30.39,269,0,Draft/Partial,PASS,,True,,True,family_unresolved_verify_ICTV,764151909d90a37e4f11c48b0d4b9bc6,GenBank\Aureus_Phynteny_split\NC_047727.1.gbk
